account_id,ticket_count,resolution_time_hours,escalation_flag
A-702032,4,26.0,0
A-712426,6,37.333333333333336,0
A-712533,5,37.4,0
A-712f1c,6,41.666666666666664,0
A-71615e,1,49.0,0
A-716841,5,29.8,0
A-726cfa,3,35.666666666666664,0
A-72799b,2,33.5,1
A-751bd4,6,23.166666666666668,1
A-751c58,5,39.6,0
A-756192,3,37.333333333333336,0
A-7641d3,5,45.2,2
A-76fa4d,5,33.4,0
A-779e4e,5,26.6,0
A-781cc0,4,57.5,0
A-78f02b,4,45.75,0
A-7920cc,7,32.857142857142854,0
A-7988d1,3,35.333333333333336,0
A-798a3f,5,33.0,0
A-7a0d69,2,29.0,0
A-7c4956,3,13.666666666666666,0
A-7c5768,5,28.8,0
A-7c6b6b,5,52.2,0
A-7c83a1,4,42.0,0
A-7cfe77,7,30.714285714285715,0
A-7d514c,3,33.333333333333336,0
A-7da956,3,32.666666666666664,0
A-7dacce,4,32.5,0
A-7df7a7,3,28.0,1
A-7e0a10,5,39.4,0
A-7f29a7,1,24.0,0
A-7f4db3,5,16.6,1
A-7f6b86,7,40.42857142857143,0
A-7f8241,1,36.0,0
A-80eeb6,4,40.25,1
A-812c5b,4,27.0,0
A-8145a0,6,23.666666666666668,0
A-81edc3,3,52.666666666666664,0
A-82861f,5,24.4,0
A-82d8a6,5,42.2,0
A-832ec2,3,26.0,1
A-84ebe4,4,29.5,0
A-854864,5,44.2,0
A-855a48,5,39.6,0
A-856b1e,5,36.0,1
A-86902e,9,40.888888888888886,0
A-86cdb4,5,26.4,0
A-86fc1d,5,27.0,0
A-87aa7b,3,27.333333333333332,1
A-883b7d,7,25.571428571428573,1
A-88c6ca,1,56.0,0
A-89ee83,5,21.8,1
A-8adedc,4,49.25,0
A-8ae05d,1,47.0,0
A-8ae3fc,4,39.5,0
A-8b0451,7,26.571428571428573,0
A-8b25f2,2,35.5,0
A-8bde0c,3,25.666666666666668,0
A-8e47ca,5,33.4,1
A-8ed5dd,6,29.0,0
A-902ef7,2,48.5,0
A-9077b0,3,40.333333333333336,0
A-90a8c8,4,45.0,0
A-9123ac,6,38.833333333333336,0
A-9174e0,2,39.0,0
A-9208f0,8,41.25,1
A-922109,3,25.333333333333332,0
A-9289f6,6,37.5,0
A-92a333,4,23.25,1
A-92a3af,4,57.5,1
A-940b8b,3,41.333333333333336,0
A-94c3cd,4,44.75,1
A-94d3da,6,26.833333333333332,0
A-94f8c9,3,47.333333333333336,0
A-956988,2,50.5,0
A-95b24a,5,21.2,0
A-96215d,1,25.0,0
A-96bbc6,3,51.333333333333336,0
A-96e141,5,32.8,0
A-970c97,1,61.0,0
A-9779ad,3,20.666666666666668,0
A-977ca0,3,64.0,0
A-98a59a,3,37.333333333333336,0
A-993085,4,46.5,0
A-9a532a,2,57.5,0
A-9affe6,3,58.0,0
A-9b9fe9,4,33.5,0
A-9badbd,5,30.2,0
A-9bfc9f,6,35.333333333333336,1
A-9c18c4,4,42.25,0
A-9ee962,3,37.0,0
A-9f0b68,3,30.333333333333332,0
A-9f9299,5,36.2,0
A-a09355,5,32.6,0
A-a0ca4e,6,39.166666666666664,3
A-a1b80b,4,41.0,0
A-a1bbb6,3,17.666666666666668,0
A-a33200,3,36.333333333333336,0
A-a45270,4,64.0,0
A-a6d261,4,40.0,1
A-a7bd4b,6,36.833333333333336,0
A-a865bd,2,31.5,0
A-a8b49c,1,72.0,0
A-a8d89d,2,44.5,0
A-aa9511,2,56.5,0
A-ab438f,2,33.5,0
A-ac14bb,2,24.5,0
A-ac85cd,3,33.666666666666664,0
A-ac9111,3,24.666666666666668,0
A-acb7f7,3,41.0,0
A-ad296b,3,28.333333333333332,1
A-ad3abd,3,13.0,0
A-ad64c6,4,34.0,0
A-adc1f3,3,47.333333333333336,0
A-ae052e,4,31.25,0
A-af0cd2,3,54.333333333333336,0
A-afa505,4,37.25,1
A-b07346,3,42.333333333333336,0
A-b07b56,4,31.25,0
A-b11cd0,4,38.5,0
A-b179bf,6,24.666666666666668,0
A-b20d99,2,61.5,0
A-b2225d,2,42.0,0
A-b2af2e,2,39.5,0
A-b30291,1,16.0,0
A-b3fe05,4,48.25,0
A-b44e3e,3,40.0,0
A-b48f73,3,28.666666666666668,0
A-b54c01,5,42.6,0
A-b7724f,3,28.666666666666668,0
A-b78bf8,5,24.2,0
A-b7b7b7,3,17.0,0
A-b7ef83,2,47.5,0
A-b9eed8,5,29.2,1
A-b9f5b1,6,31.833333333333332,1
A-ba6516,6,31.5,0
A-bad8c1,1,27.0,0
A-bb1486,3,11.0,0
A-bb1eaa,6,23.5,0
A-bb2f49,3,22.333333333333332,0
A-bb3bd4,11,32.72727272727273,0
A-bbc346,3,45.333333333333336,0
A-bbe56f,4,26.25,0
A-bc4d48,6,41.166666666666664,1
A-bc87bc,7,40.57142857142857,0
A-bcbe98,7,38.285714285714285,1
A-bcf664,5,36.0,1
A-bcf87c,2,63.0,0
A-bd4513,3,42.0,0
A-bd4708,4,24.0,0
A-bece89,4,32.5,1
A-bf7919,2,14.5,0
A-c16101,4,28.0,1
A-c16b88,3,48.333333333333336,0
A-c16cf7,3,48.333333333333336,0
A-c1dfe1,3,50.333333333333336,0
A-c1e51e,5,40.0,0
A-c222ab,4,39.0,0
A-c37601,4,42.25,0
A-c37cab,4,33.0,1
A-c42f1f,9,31.333333333333332,1
A-c43359,3,26.666666666666668,0
A-c45b23,3,36.666666666666664,0
A-c4ea60,5,36.0,0
A-c58f49,3,36.333333333333336,1
A-c608c8,2,59.0,0
A-c62e55,4,27.5,0
A-c70870,5,35.6,0
A-c7e58b,5,30.6,0
A-c7ffc2,2,64.0,0
A-c9bb3e,7,27.714285714285715,1
A-cab532,1,32.0,0
A-cb5333,4,30.75,0
A-cb6cc6,3,16.333333333333332,0
A-cbbe12,6,38.0,0
A-cbd1a3,4,34.5,0
A-cc102e,4,33.25,0
A-cc1d8d,5,30.2,0
A-cc8c8f,2,14.5,0
A-cc98bc,3,4.666666666666667,0
A-ccabf0,4,46.25,0
A-ccb686,1,67.0,0
A-ccc747,4,32.25,1
A-cd458b,5,38.4,0
A-cdf020,4,29.5,0
A-ce550d,7,42.285714285714285,1
A-ce66f8,6,41.666666666666664,0
A-cea1f0,5,42.2,0
A-ced9aa,7,28.857142857142858,0
A-d26ab4,2,49.5,0
A-d27f50,4,37.5,0
A-d3c88e,3,58.0,0
A-d40bf7,2,20.5,0
A-d42431,4,24.25,0
A-d49cc5,4,32.0,0
A-d4ac0e,4,21.0,0
A-d4e0d4,4,39.25,0
A-d5a319,1,17.0,1
A-d62e02,1,36.0,0
A-d77f4c,2,31.0,0
A-d792a6,5,40.6,0
A-d82ef9,5,39.8,1
A-d922bf,7,39.142857142857146,1
A-db5e9e,2,66.0,0
A-dbc825,6,49.5,1
A-dcc2f0,2,27.0,0
A-dcc3f1,9,35.666666666666664,0
A-de24d5,7,43.142857142857146,0
A-de58ca,5,30.6,0
A-dec005,2,59.0,0
A-df10db,2,68.5,1
A-df1e44,2,53.0,0
A-dfbd31,6,29.666666666666668,0
A-e08cd3,8,30.375,0
A-e1462e,2,39.5,0
A-e19ff6,3,30.666666666666668,0
A-e1b9cd,1,35.0,0
A-e2cd1b,5,37.8,0
A-e351e1,4,17.0,0
A-e36807,2,41.0,0
A-e3bd71,4,30.25,0
A-e40f45,7,26.714285714285715,0
A-e4144b,3,57.0,0
A-e43bf7,5,27.4,1
A-e4bf56,8,29.125,0
A-e51ec7,3,37.0,0
A-e5d6ab,3,42.666666666666664,0
A-e60f9d,2,70.5,0
A-e61e98,6,30.333333333333332,1
A-e693b6,1,1.0,0
A-e7a1e2,1,45.0,0
A-e7beab,6,36.666666666666664,0
A-e83938,4,31.0,0
A-e888d1,5,43.0,1
A-e89151,2,41.5,0
A-e98302,9,44.44444444444444,0
A-eafc6e,1,64.0,0
A-eb1312,1,68.0,0
A-eb2fdc,5,33.6,0
A-eb7c38,5,22.4,0
A-eb7fac,4,34.0,0
A-ed510f,9,44.55555555555556,0
A-ee42db,4,33.75,0
A-ef84cf,5,34.8,1
A-f03140,7,36.0,0
A-f17767,3,36.333333333333336,1
A-f19409,3,6.333333333333333,0
A-f19b24,2,35.5,1
A-f1f639,7,20.0,0
A-f25509,6,42.666666666666664,0
A-f3ff05,3,42.666666666666664,0
A-f44180,2,46.5,0
A-f446b6,8,30.75,1
A-f45426,3,17.0,0
A-f51f16,4,29.25,0
A-f5641b,4,47.5,1
A-f6b2fb,5,55.0,1
A-f92792,2,45.0,0
A-f97b9a,7,31.714285714285715,0
A-f9cc74,6,49.833333333333336,0
A-fa2041,1,16.0,0
A-fa3095,5,49.2,0
A-faa28c,4,52.25,1
A-fabe19,3,40.666666666666664,0
A-fb186e,6,26.166666666666668,0
A-fce879,2,28.0,0
A-fd7ad3,8,48.75,1
A-fd9422,6,44.333333333333336,1
A-fda07f,5,17.8,0
A-fdfc91,5,28.8,0
A-fe79a5,4,28.5,0
A-ff3c73,2,35.5,0
A-ff79f2,2,50.0,0
A-ffc04f,7,17.714285714285715,1
