account_id,churn_score,risk_level
A-9208f0,0.8201313058333692,High
A-98a59a,0.04989306585783938,Low
A-fe79a5,0.09439060245462415,Low
A-726cfa,0.06115928607987605,Low
A-c43359,0.023539719704424596,Low
A-271f46,0.7510886049290812,High
A-157070,0.02779680263968412,Low
A-40a557,0.09213961720251108,Low
A-66224b,0.03940371069813171,Low
A-91e948,0.038050835764775255,Low
A-104f1a,0.030523735710698514,Low
A-7988d1,0.20722083689435536,Low
A-faa28c,0.04542115846074213,Low
A-f25509,0.025148536870163114,Low
A-3a7284,0.04034432390842813,Low
A-3a5ad8,0.04965243085977999,Low
A-65a46c,0.055146242954505535,Low
A-8b25f2,0.9419164454106117,High
A-fabe19,0.05846556474030182,Low
A-adc1f3,0.05567373975718918,Low
A-503d5a,0.8046735175736235,High
A-fd7ad3,0.01139115491522972,Low
A-186a44,0.02996509218303396,Low
A-e888d1,0.09278792693250168,Low
A-69fad4,0.7866244188458734,High
A-9289f6,0.10657341954493196,Low
A-f19409,0.8755429359451847,High
A-22f2df,0.05313839388911691,Low
A-039727,0.042433996725470755,Low
A-2e3bad,0.06555520376033146,Low
A-484819,0.02137676415848848,Low
A-425e76,0.9038912377383139,High
A-e83938,0.8414584520815589,High
A-ad296b,0.08521476052380272,Low
A-e51ec7,0.06690417884539024,Low
A-0aaf6e,0.045435086988934045,Low
A-e61e98,0.8231511587578818,High
A-92a333,0.026605094764366576,Low
A-95b24a,0.7766608942800574,High
A-42e5e1,0.8564799875306623,High
A-7d514c,0.0929109582478058,Low
A-65aeb5,0.16916132825223879,Low
A-e2cd1b,0.09594507589388622,Low
A-180abf,0.7948923911507669,High
A-f17767,0.7232123473087423,High
A-5a184f,0.8608650665368526,High
A-7df7a7,0.9194835425098677,High
A-1ac5e0,0.7539263680498127,High
A-52dd88,0.01770832226183229,Low
A-bece89,0.007383823723535947,Low
A-029f69,0.05444405376304319,Low
A-5c046d,0.07941257731056674,Low
A-fb186e,0.018111322578092993,Low
A-ae052e,0.07723987015253554,Low
A-9f9299,0.01799203035986292,Low
A-96e141,0.09359275486658686,Low
A-117171,0.8167125527425653,High
A-313be3,0.020341930045562243,Low
A-671f31,0.16401821098990926,Low
A-bbc346,0.1017762359829658,Low
A-c16101,0.07498735695830883,Low
A-50f3f7,0.7928211101521191,High
A-7da956,0.11814316269054019,Low
A-019782,0.6294249478551197,Medium
A-df10db,0.02613091205328916,Low
A-3932db,0.8469028509969891,High
A-4f18f0,0.11580340637883361,Low
A-4c6f11,0.9085030688158595,High
A-8ae05d,0.04397963481946056,Low
A-b78bf8,0.011819865998865182,Low
A-eafc6e,0.8220722962620652,High
A-37f969,0.02725235297598148,Low
A-10b8f2,0.07860780939083949,Low
A-439b2f,0.10658015773199908,Low
A-544d0a,0.026137175188929114,Low
A-ba6516,0.04630538839004698,Low
A-712426,0.07190462486543614,Low
A-038089,0.8952840118772782,High
A-afa505,0.08854030418240226,Low
A-d5a319,0.5472247763565783,Medium
A-f97b9a,0.18603295688974872,Low
A-2f6a32,0.058088199968725586,Low
A-856b1e,0.014082116933620693,Low
A-17939a,0.018629908486462537,Low
A-d27f50,0.08262599919304853,Low
A-e36807,0.06397513105810788,Low
A-ff79f2,0.8984687511232365,High
A-5b1bcd,0.053792580704790996,Low
A-71615e,0.021668865327803058,Low
A-794a0b,0.022548233284857198,Low
A-86902e,0.09886395111604786,Low
A-0532a9,0.14840744226054842,Low
A-9779ad,0.8073369152919794,High
A-f45426,0.04988797891408738,Low
A-c1e51e,0.05575181522482023,Low
A-fa3095,0.0766479574868006,Low
A-ad64c6,0.016911499608103127,Low
A-39b19f,0.0358883109714241,Low
A-56962b,0.011486693267704923,Low
A-e60f9d,0.02767986589777873,Low
A-88c6ca,0.8295595723978872,High
A-158f4e,0.024158738093728257,Low
A-5b051a,0.02429749435690516,Low
A-296d7c,0.052036616485477916,Low
A-1619f8,0.029331970101762004,Low
A-a1b80b,0.03369467486454052,Low
A-139c3b,0.8411406989415803,High
A-702032,0.021116888749014625,Low
A-7a0d69,0.27242184315974827,Low
A-22d9d2,0.06415161195322136,Low
A-b9eed8,0.02186124460170078,Low
A-dfbd31,0.006658608587184055,Low
A-8e47ca,0.03167611372576299,Low
A-4437e4,0.08175669141012458,Low
A-779e4e,0.019645532220928706,Low
A-53f4e3,0.02903515532407587,Low
A-692f18,0.9035314704989388,High
A-13466a,0.017333142103350272,Low
A-1986ca,0.026728741028860095,Low
A-0cc442,0.22412536322837912,Low
A-c608c8,0.7546695672156795,High
A-3be56b,0.7766829767027026,High
A-354f12,0.015261489872372686,Low
A-68f37c,0.7351249410327528,High
A-aa9511,0.13452968975957302,Low
A-af0cd2,0.038180699123741106,Low
A-bd4513,0.02505462456106441,Low
A-c222ab,0.03915578410876567,Low
A-34d880,0.08714848150093885,Low
A-508199,0.12113179213832564,Low
A-f03140,0.06170923479630054,Low
A-410e86,0.008073077890536027,Low
A-fa2041,0.09495089041823539,Low
A-de58ca,0.02655199775836862,Low
A-05d3b3,0.7750155906389509,High
A-249769,0.08885071882445637,Low
A-e43bf7,0.008182821971934002,Low
A-eb2fdc,0.1390729065567339,Low
A-e1462e,0.040543005047561455,Low
A-cab532,0.03523714247161369,Low
A-9123ac,0.02665108357635984,Low
A-6e08f3,0.23392094402365374,Low
A-d922bf,0.05249448234641913,Low
A-8ed5dd,0.864817666905722,High
A-7c6b6b,0.014634333037764298,Low
A-3c1a3f,0.04261205363221807,Low
A-b48f73,0.10184196028484248,Low
A-76fa4d,0.023109864146550002,Low
A-b2af2e,0.026808375927939686,Low
A-9bfc9f,0.05828627594552041,Low
A-4ae22a,0.8929190770467035,High
A-fda07f,0.0495452831042304,Low
A-de24d5,0.7985760486195181,High
A-977ca0,0.8857469689217147,High
A-ab438f,0.871442459199525,High
A-e89151,0.2714382403720772,Low
A-40906c,0.06470897896152741,Low
A-81edc3,0.03260579878012274,Low
A-328bd0,0.020616473851896328,Low
A-b3fe05,0.0517983717504889,Low
A-09540c,0.01795643847109415,Low
A-e693b6,0.886060798250917,High
A-2446e3,0.03080627132730239,Low
A-241e75,0.006462503648813244,Low
A-922109,0.007151082660809108,Low
A-ff3c73,0.05627978667189465,Low
A-8b0451,0.015475435196392369,Low
A-331424,0.023411289203223946,Low
A-51ec1b,0.010939753388346343,Low
A-bcf664,0.2034129513707934,Low
A-90a8c8,0.18152021933611895,Low
A-86cdb4,0.015806850196182425,Low
A-4bfa33,0.10673805618792945,Low
A-dbc825,0.04059401183067014,Low
A-c70870,0.04697885794388239,Low
A-7c4956,0.8935322156101032,High
A-0651a4,0.05657284435490959,Low
A-3ce5b8,0.8950129795300922,High
A-bd4708,0.02585838715454572,Low
A-993085,0.047156331381892,Low
A-92a3af,0.007312308868886359,Low
A-151c9a,0.042821705845975604,Low
A-474ad4,0.0342187877738721,Low
A-4ef964,0.013391838011142273,Low
A-fd9422,0.011259785594669685,Low
A-0baac2,0.8110927608487964,High
A-bb1486,0.09727684241905062,Low
A-560d27,0.052799140749811665,Low
A-0b0d6d,0.026505241792215174,Low
A-2789e3,0.04156570298856244,Low
A-b07346,0.7885824197104778,High
A-902ef7,0.7546811443703546,High
A-20736a,0.03755297985180316,Low
A-e4bf56,0.9313891937833803,High
A-cea1f0,0.17226630747367624,Low
A-ef84cf,0.03356968830601907,Low
A-d49cc5,0.012722990945373136,Low
A-67be94,0.07455705193386976,Low
A-4e960a,0.6118211217958575,Medium
A-c37cab,0.045367148544206204,Low
A-533452,0.06100284486555543,Low
A-443b7c,0.25219304813609356,Low
A-1f7acb,0.014489076799594547,Low
A-f51f16,0.03264478986407675,Low
A-5a3eb9,0.042529164062932535,Low
A-5f2961,0.2124190117847995,Low
A-417d2f,0.033077215129423874,Low
A-e98302,0.059164835054238175,Low
A-8bde0c,0.41594562905584,Medium
A-bcf87c,0.9033407841096575,High
A-54ecc2,0.026399510322434934,Low
A-625d0b,0.021298152641254547,Low
A-fce879,0.9281157293191697,High
A-b07b56,0.8969593528665605,High
A-6da850,0.017964695988309416,Low
A-342303,0.01899869416794518,Low
A-e7a1e2,0.03914111579593165,Low
A-f1f639,0.012516206069760165,Low
A-a865bd,0.04545090298064825,Low
A-4e631b,0.049519102948845026,Low
A-7f6b86,0.9003199345545116,High
A-8adedc,0.727714481248386,High
A-2edab2,0.049329082456416644,Low
A-149a69,0.030083323044283596,Low
A-a6d261,0.13920007589236424,Low
A-443f6f,0.055549959878205296,Low
A-202b67,0.011320481093346057,Low
A-00bed1,0.1486373742484176,Low
A-ffc04f,0.005018153048643419,Low
A-65c341,0.04909745049210673,Low
A-dcc2f0,0.007614510569604397,Low
A-ced9aa,0.5147965646615754,Medium
A-3d957b,0.04616329339484343,Low
A-89ee83,0.9127143991666542,High
A-883b7d,0.045678685773862374,Low
A-dcc3f1,0.04726107128450225,Low
A-c62e55,0.021049082195548546,Low
A-e4144b,0.0181131313909579,Low
A-e40f45,0.07955329141516215,Low
A-96215d,0.02118619831005137,Low
A-2b9d3e,0.10391218919318328,Low
A-b7724f,0.01575666910854081,Low
A-310452,0.048200437303164416,Low
A-eb1312,0.03623899532091826,Low
A-df1e44,0.014973028535375453,Low
A-6a7c9d,0.9004393443405173,High
A-cbd1a3,0.7611678471067111,High
A-a8d89d,0.05291127486753051,Low
A-600734,0.8698205737680981,High
A-86fc1d,0.04305247959751957,Low
A-78f02b,0.03488297884031925,Low
A-acb7f7,0.10194072663030049,Low
A-712f1c,0.810498404638683,High
A-3793ee,0.596088535872285,Medium
A-9a532a,0.008678581884776718,Low
A-2ebb4b,0.02610126296206422,Low
A-6843f2,0.03277149510012473,Low
A-c9bb3e,0.03095557045800571,Low
A-4814a3,0.8370559072657182,High
A-b7b7b7,0.7166217851913359,High
A-ccc747,0.8223439360044611,High
A-bb3bd4,0.3511401602304687,Medium
A-09316c,0.029462401037954944,Low
A-96bbc6,0.22722005361717867,Low
A-bc4d48,0.02738696285637745,Low
A-b30291,0.9042686437652664,High
A-cdf020,0.04376001918363085,Low
A-e6afc1,0.09113664986791949,Low
A-e3bd71,0.0710940290444297,Low
A-b179bf,0.06723613001892764,Low
A-098560,0.9532765091197923,High
A-82861f,0.026786460226216384,Low
A-94c3cd,0.04259531058361024,Low
A-a33200,0.07844600804650809,Low
A-034368,0.02501519300479869,Low
A-b54c01,0.2297342840731192,Low
A-d82ef9,0.008521892385245535,Low
A-bb2f49,0.012152216823373101,Low
A-1f559b,0.8072770701095872,High
A-5a215a,0.020989968878181206,Low
A-3f9cc0,0.11433313072118881,Low
A-f9cc74,0.08567155523190025,Low
A-ed510f,0.09367298412921761,Low
A-5c9849,0.05431571106741434,Low
A-a7bd4b,0.2896183217524112,Low
A-d4ac0e,0.02584164006338122,Low
A-ffdfd5,0.7380842820989568,High
A-0dbdc6,0.7523558333074478,High
A-7cfe77,0.08552778380443746,Low
A-1f0636,0.025041872395065275,Low
A-40de06,0.8944675619006566,High
A-cb5333,0.06501320763134441,Low
A-309e54,0.017134745335689518,Low
A-6e7827,0.1142877862023332,Low
A-50bb9f,0.052668641064147564,Low
A-5fe118,0.041912503389293435,Low
A-5247b3,0.040684996257875874,Low
A-f44180,0.03145074049479043,Low
A-c16cf7,0.03673132681896931,Low
A-d42431,0.022024431636920035,Low
A-6965e1,0.07997047536880245,Low
A-0354fe,0.023550110713290242,Low
A-0a62f5,0.03201697657106392,Low
A-f5641b,0.03673141855210337,Low
A-b44e3e,0.5949622655383107,Medium
A-3b37d9,0.05385862656316269,Low
A-54d94a,0.15851066589418908,Low
A-7f29a7,0.0503013078407178,Low
A-089363,0.026354141295036222,Low
A-524364,0.06912210671399385,Low
A-855a48,0.02794379806752522,Low
A-756192,0.014931993164240615,Low
A-49b828,0.030851200638423094,Low
A-c7ffc2,0.0446830515503153,Low
A-751c58,0.71640171164245,High
A-72799b,0.8963516676527026,High
A-812c5b,0.9098032494390251,High
A-69b156,0.6858690139028645,High
A-075038,0.024952908776654,Low
A-940b8b,0.04101067625599519,Low
A-2d1036,0.21468803165760567,Low
A-0f6450,0.7537118713050361,High
A-9affe6,0.7499245726381973,High
A-80eeb6,0.09414018966226219,Low
A-d4e0d4,0.15357222911520257,Low
A-c7e58b,0.2555243867278731,Low
A-016043,0.08323630645632946,Low
A-bbe56f,0.010814036808984911,Low
A-7c5768,0.05478638917092965,Low
A-751bd4,0.15863045797561376,Low
A-4e0e85,0.015763576187098456,Low
A-ad3abd,0.08269899204376518,Low
A-e19ff6,0.03939391334225986,Low
A-7920cc,0.04659626511783001,Low
A-5a92e7,0.01030586464186679,Low
A-fdfc91,0.1313166959728404,Low
A-1e50e0,0.8820113976073244,High
A-1e1b80,0.05221234032735909,Low
A-659280,0.2841986013309684,Low
A-f6b2fb,0.08120244335887544,Low
A-cb6cc6,0.016242008319489264,Low
A-d62e02,0.007766581928504222,Low
A-d535f6,0.9368917128417605,High
A-39868b,0.01413439586766756,Low
A-3cc791,0.04170453627189556,Low
A-337bc1,0.02688242906537815,Low
A-58b9ff,0.060951381491450025,Low
A-bf7919,0.09139766740640906,Low
A-1d5444,0.8398719129028354,High
A-0f3e88,0.7553810837387521,High
A-7641d3,0.07204059839818745,Low
A-cd458b,0.05092771954896589,Low
A-c16b88,0.1004055062121321,Low
A-59f724,0.006450574619715237,Low
A-87aa7b,0.037172880130843626,Low
A-1e6fc3,0.016896696006414462,Low
A-39ddf4,0.015279145782366258,Low
A-34ea2f,0.8799317043453093,High
A-716841,0.025968763220199517,Low
A-558c72,0.07518357179124628,Low
A-b11cd0,0.13749582294343676,Low
A-cc1d8d,0.016216899604019373,Low
A-7f4db3,0.08039212938076673,Low
A-db5e9e,0.03790626225365961,Low
A-cc102e,0.054348663077823496,Low
A-82d8a6,0.08688842625899837,Low
A-dec005,0.012378806429133244,Low
A-5790f4,0.018223936096675608,Low
A-7c83a1,0.02539206024461601,Low
A-297a2d,0.020250178652788556,Low
A-4c56c9,0.80112944505697,High
A-cbbe12,0.092454057023094,Low
A-4a267b,0.0707912315864049,Low
A-bcbe98,0.10589817916331759,Low
A-427b69,0.09590493001206897,Low
A-0be015,0.07674352734373034,Low
A-054577,0.043613575445646285,Low
A-bc87bc,0.033360916819144396,Low
A-0f7d77,0.016320655868164183,Low
A-e7beab,0.05270677527125642,Low
A-a09355,0.11250281867139851,Low
A-31ab9a,0.01813988683399237,Low
A-0158bb,0.03147776498181013,Low
A-f19b24,0.033526964827066644,Low
A-798a3f,0.9184201880098687,High
A-42b791,0.0177206102354937,Low
A-068fc6,0.05329966697346757,Low
A-6f50ae,0.826286138433458,High
A-a2485e,0.029489929930161723,Low
A-bb1eaa,0.021861245026564457,Low
A-cc98bc,0.10854372401948088,Low
A-d77f4c,0.1410667207639323,Low
A-ccabf0,0.07116471629883792,Low
A-700ade,0.016758607961082785,Low
A-4a4c2d,0.13368658380861473,Low
A-b7ef83,0.10644982525034334,Low
A-e08cd3,0.04114877755741293,Low
A-19b2c8,0.10352719265365747,Low
A-970c97,0.0539658449912077,Low
A-6dee43,0.3854302940381147,Medium
A-5ed98d,0.32052275816162207,Low
A-c58f49,0.05756860927857824,Low
A-9c18c4,0.8155309423003182,High
A-cc8c8f,0.02136270888441116,Low
A-5f7781,0.05130045556032198,Low
A-e1b9cd,0.3689749706174119,Medium
A-ac85cd,0.04904536122287732,Low
A-d792a6,0.07510113625671286,Low
A-ac9111,0.055709090604292716,Low
A-18793f,0.085886356508822,Low
A-9f0b68,0.03741052605761332,Low
A-d3c88e,0.02967679845966822,Low
A-ccb686,0.05985163256526823,Low
A-118f1c,0.018339383358723146,Low
A-0e966d,0.7604440201013232,High
A-b9f5b1,0.05437633251577579,Low
A-8ae3fc,0.047944070997214754,Low
A-55f257,0.4562006696112136,Medium
A-d26ab4,0.7697749856203655,High
A-712533,0.014718919049728635,Low
A-781cc0,0.11688603570900931,Low
